"id","name","parent","Cases","Growth","FIPS","Cases_2020-01-22","Cases_2020-01-23","Cases_2020-01-24","Cases_2020-01-25","Cases_2020-01-26","Cases_2020-01-27","Cases_2020-01-28","Cases_2020-01-29","Cases_2020-01-30","Cases_2020-01-31","Cases_2020-02-01","Cases_2020-02-02","Cases_2020-02-03","Cases_2020-02-04","Cases_2020-02-05","Cases_2020-02-06","Cases_2020-02-07","Cases_2020-02-08","Cases_2020-02-09","Cases_2020-02-10","Cases_2020-02-11","Cases_2020-02-12","Cases_2020-02-13","Cases_2020-02-14","Cases_2020-02-15","Cases_2020-02-16","Cases_2020-02-17","Cases_2020-02-18","Cases_2020-02-19","Cases_2020-02-20","Cases_2020-02-21","Cases_2020-02-22","Cases_2020-02-23","Cases_2020-02-24","Cases_2020-02-25","Cases_2020-02-26","Cases_2020-02-27","Cases_2020-02-28","Cases_2020-02-29","Cases_2020-03-01","Cases_2020-03-02","Cases_2020-03-03","Cases_2020-03-04","Cases_2020-03-05","Cases_2020-03-06","Cases_2020-03-07","Cases_2020-03-08","Cases_2020-03-09","Cases_2020-03-10","Cases_2020-03-11","Cases_2020-03-12","Cases_2020-03-13","Cases_2020-03-14","Cases_2020-03-15","Cases_2020-03-16","Cases_2020-03-17","Cases_2020-03-18","Cases_2020-03-19","Cases_2020-03-20","Cases_2020-03-21","Cases_2020-03-22","Cases_2020-03-23","Cases_2020-03-24","Cases_2020-03-25","Cases_2020-03-26","Cases_2020-03-27","Cases_2020-03-28","Cases_2020-03-29","Cases_2020-03-30","Cases_2020-03-31","Cases_2020-04-01","Cases_2020-04-02","Cases_2020-04-03","Cases_2020-04-04","Cases_2020-04-05","Cases_2020-04-06","Cases_2020-04-07","Cases_2020-04-08","Cases_2020-04-09","Cases_2020-04-10","Cases_2020-04-11","Cases_2020-04-12","Cases_2020-04-13","Cases_2020-04-14","Cases_2020-04-15","Cases_2020-04-16","Cases_2020-04-17","Cases_2020-04-18","Cases_2020-04-19","Cases_2020-04-20","Cases_2020-04-21","Cases_2020-04-22","Cases_2020-04-23","Cases_2020-04-24","Cases_2020-04-25","Cases_2020-04-26","Cases_2020-04-27","Cases_2020-04-28","Cases_2020-04-29","Cases_2020-04-30","Cases_2020-05-01","Cases_2020-05-02","Cases_2020-05-03","Cases_2020-05-04","Cases_2020-05-05","Cases_2020-05-06","Cases_2020-05-07","Cases_2020-05-08","Cases_2020-05-09","Cases_2020-05-10","Cases_2020-05-11","Cases_2020-05-12","Cases_2020-05-13","Cases_2020-05-14","Cases_2020-05-15","Cases_2020-05-16","Cases_2020-05-17","Cases_2020-05-18","Cases_2020-05-19","Cases_2020-05-20","Cases_2020-05-21","Cases_2020-05-22","Cases_2020-05-23","Cases_2020-05-24","Cases_2020-05-25","Cases_2020-05-26","Cases_2020-05-27","Cases_2020-05-28","Cases_2020-05-29","Growth_2020-01-22","Growth_2020-01-23","Growth_2020-01-24","Growth_2020-01-25","Growth_2020-01-26","Growth_2020-01-27","Growth_2020-01-28","Growth_2020-01-29","Growth_2020-01-30","Growth_2020-01-31","Growth_2020-02-01","Growth_2020-02-02","Growth_2020-02-03","Growth_2020-02-04","Growth_2020-02-05","Growth_2020-02-06","Growth_2020-02-07","Growth_2020-02-08","Growth_2020-02-09","Growth_2020-02-10","Growth_2020-02-11","Growth_2020-02-12","Growth_2020-02-13","Growth_2020-02-14","Growth_2020-02-15","Growth_2020-02-16","Growth_2020-02-17","Growth_2020-02-18","Growth_2020-02-19","Growth_2020-02-20","Growth_2020-02-21","Growth_2020-02-22","Growth_2020-02-23","Growth_2020-02-24","Growth_2020-02-25","Growth_2020-02-26","Growth_2020-02-27","Growth_2020-02-28","Growth_2020-02-29","Growth_2020-03-01","Growth_2020-03-02","Growth_2020-03-03","Growth_2020-03-04","Growth_2020-03-05","Growth_2020-03-06","Growth_2020-03-07","Growth_2020-03-08","Growth_2020-03-09","Growth_2020-03-10","Growth_2020-03-11","Growth_2020-03-12","Growth_2020-03-13","Growth_2020-03-14","Growth_2020-03-15","Growth_2020-03-16","Growth_2020-03-17","Growth_2020-03-18","Growth_2020-03-19","Growth_2020-03-20","Growth_2020-03-21","Growth_2020-03-22","Growth_2020-03-23","Growth_2020-03-24","Growth_2020-03-25","Growth_2020-03-26","Growth_2020-03-27","Growth_2020-03-28","Growth_2020-03-29","Growth_2020-03-30","Growth_2020-03-31","Growth_2020-04-01","Growth_2020-04-02","Growth_2020-04-03","Growth_2020-04-04","Growth_2020-04-05","Growth_2020-04-06","Growth_2020-04-07","Growth_2020-04-08","Growth_2020-04-09","Growth_2020-04-10","Growth_2020-04-11","Growth_2020-04-12","Growth_2020-04-13","Growth_2020-04-14","Growth_2020-04-15","Growth_2020-04-16","Growth_2020-04-17","Growth_2020-04-18","Growth_2020-04-19","Growth_2020-04-20","Growth_2020-04-21","Growth_2020-04-22","Growth_2020-04-23","Growth_2020-04-24","Growth_2020-04-25","Growth_2020-04-26","Growth_2020-04-27","Growth_2020-04-28","Growth_2020-04-29","Growth_2020-04-30","Growth_2020-05-01","Growth_2020-05-02","Growth_2020-05-03","Growth_2020-05-04","Growth_2020-05-05","Growth_2020-05-06","Growth_2020-05-07","Growth_2020-05-08","Growth_2020-05-09","Growth_2020-05-10","Growth_2020-05-11","Growth_2020-05-12","Growth_2020-05-13","Growth_2020-05-14","Growth_2020-05-15","Growth_2020-05-16","Growth_2020-05-17","Growth_2020-05-18","Growth_2020-05-19","Growth_2020-05-20","Growth_2020-05-21","Growth_2020-05-22","Growth_2020-05-23","Growth_2020-05-24","Growth_2020-05-25","Growth_2020-05-26","Growth_2020-05-27","Growth_2020-05-28","Growth_2020-05-29"
"flare","flare","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region2","E South Ctrl","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region6","Pacific","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region4","Mountain","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region9","W South Dtrl","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region5","N Atlantic","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region7","S Atlantic","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region1","E North Ctrl","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region8","W North Ctrl","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Region3","Mid Atlantic","flare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
